呵	;kk;kk;kk;kk;dz;ks;kk;kh;kh
𡚟	;dn;dv;df;dn;mu;da;;
𡧗	;bw;bw;bw;bw;wr;pg;;
𣐎	;mw;mw;mw;mw;er;sg;;
𣢉	;hq;rq;rr;qh,hq;je;wx;;
𣢚	;qg;gq;gr;qg;ye;rc;;
𤬦	;bw;bw;bw;wb;wr;pg;;
𤬿	;tw;tw;tw;wg,gw;gr;ff;;
𤮰	;ws;uw;ew;ws;vr;mw;;
𤿗	;pm;pw;vm;pm;re;hc;;
𥤺	;bu;bu;bu;xu;eu;pw;;
𥥟	;bw;bw;bw;xw;er;pw;;
𦘍	;et;et;et;eg,eq;qm;bu;;
𦘵	;oj;oj;oj;oj;vk;eg;;
𦚩	;om;om;om;od;ve;em;;
𦞭	;og;og;og;ow;vy;ep;;
𦤙	;zi;zi;zi;gi,ni;om;th;;
𦫪	;bb;bb;bb;sw,ws;em;pw;;
𧧊	;yv;ys;ws;yv;sv;yr;;
𨀄	;zw;zw;zw;zw;pr;kh;;
𨩶	;jc;jc;jc;jg;zk;qp;;
𩋘	;gv;gv;gf;gv;tu;af;;
𩨚	;gn;gn;gn;gn;fb;me;;
𩨾	;gv;gv;gv;gw;fz;me;;
𩩤	;gy;gy;gy;gy;fc;me;;
𩿺	;wn;wn;wn;wn,nw;rx;gn;;
喎	;kk;kk;kk;kg,kk;dd;km;kk;ks
竵	;lg;lf;ll;lg;iv;ug;;dh
㖞	;kn;kn;kn;kg;dj;kk;;
䠿	;ub;ub;ub;ug;zo;tm;;
顡	;yy;ly;wb;yu,yy;iw;ue;;dh
𠨃	;tb;tb;tb;nw;qy;ll;;
𠰻	;kb;kb;kb;kw;dy;kq;;
𢱉	;fv;fv;fv;fw;us;rg;;
𤟷	;qv;qv;qv;qw;ms;qt;;
𤤫	;wb;wb;wb;ww;ny;gq;;
𤷹	;bj;bj;bj;bj;ar;un;;
𨈕	;ue;ue;ue;ue;zt;tm;;
𨵞	;mb;mb;mb;mg;av;ut;;
𩔀	;by;by;bb;ys,yu,by;hw;ue;;
𩕕	;cy;cy;cb;ym,cy,yp;lw;ae;;
𪉭	;bw;vy;ln;lw,bw;yt;hl;;
𪑷	;hj;lj;hj;hj;pr;lf;;
萬	;cy;cd;cy;cy;lv;aj;;cd
灣	;dg;dg;dg;dg,dw;kb;ix;;ua
毌	;va;ml;va;aa,vh;ku;xf;va;vh;vs
妧	;ne;ny;ne;ny;bp;vf;ne;nh;nh
卐	;vh;va;vv;aa,vh;aa;gh,ng;;
晩	;oe;oe;oe;om;op;jq;;lp
杬	;my;my;me;my;ep;sf;;mh
彎	;yg;xg;yg;gs,yg;sb;xy;;av
涴	;dv;dv;dv;dw;kz;ip;dv;ub;ub
盌	;xm;xm;xm;me,my;la;qb;;ph
晼	;ov;ov;ov;ow;oz;jp;;lb
翫	;yy;xy;xe;yb,yx,yy;zp;nr;;vh
刓	;dy;yd;ed;dy;mp;fq;;hs
輓	;im;ie;iv;im;yp;lq;;hp
紈	;sw;sw;yw;sw;ii;xv;;ip
蚖	;iy;iy;ie;iy;cp;jf;;oh
唍	;kw;ky;ke;kw;dp;kp;;kb
綰	;sg;sl;yk;sg;ik;xp;;ib
鋺	;jv;jv;jv;jw;zz;qp;;jb
踠	;zv;zv;zv;zw;pz;kh;;zb
頑	;yy;yy;eb;yy;mw;fq;;hh
夗	;xv;xv;xv;xe,ex;lz;qb;;pv
抏	;fy;fy;fe;fy;up;rf;;fh
汍	;dw;dw;dw;dw;ki;iv;;up
岏	;uy;uy;ee;uy;vp;mf;;sh
捖	;fw;fy;fe;fw;up;rp;;fb
睕	;ov;ov;ov;ow;qz;hp;;sb
贎	;bw;bd;oy;bw;ov;ma;;sc
輐	;iw;iy;ie;iw;yp;lp;;hb
埦	;tv;tv;tv;tw;gz;fp;;tb
潫	;dx;dx;dx;dj,ds;ki;iu;;ud
箢	;vv;vv;vv;vw;rz;tp;vv;gv;gv
鋔	;jm;je;jv;jm;zp;qq;;jp
錽	;jw;jw;jw;jw;zh;qg;;jh
㝴	;cy;yc;ec;cy;mk;fq;;
㸘	;ft;fd;bd;ft;ha;wq;;
㽜	;xt;xt;xt;ty;lq;qb;;
䂺	;ug;ug;ug;ug;me;dj;;
䅋	;hm;he;hv;hg,hm;xp;tq;;
䖤	;xi;xi;xi;iy;lc;qb;;
䗕	;bi;bi;bi;iw;wc;pq;;
䘼	;pv;pv;pv;yw;tz;pu;;
䛷	;yw;yv;wv;yw;sz;yp;;
䝹	;bw;bv;ov;bw;oz;mp;;
䥑	;jw;jw;jw;jm;zh;qs;;
䩊	;mv;mv;mv;mw;bz;dm;;
䯈	;gy;gy;ge;gy;fp;me;;
䳃	;nv;nv;nv;ny;xz;wv;;
倇	;rv;rv;rv;rw;jz;wp;;rb
壪	;tg;tg;tg;tw;gb;fx;;ta
帵	;jv;jv;jv;jw;rz;mh;;sb
忨	;xy;xy;xe;xy;hp;nf;;xh
惌	;bx;bx;bx;by,xw;wh;pq;;bx
捥	;fv;fv;fv;fw;uz;rp;;fb
杤	;mw;mw;mw;mw;ep;sd;;mh
梚	;mm;me;mv;mm;ep;sq;;mp
琓	;ww;wy;we;ww;np;gp;;wb
瞣	;ox;ox;ox;oh;qh;hk;;sk
笂	;vw;vw;vw;vw;ri;tv;;gd
綩	;sw;sv;yv;sw;iz;xp;;ib
脕	;om;oe;ov;om;vp;eq;;yp
萖	;ce;ce;ce;ce;lp;av;;cv
蟃	;iy;iy;iy;im;cr;jj;;ol
貦	;by;by;oe;by;op;mf;;sh
贃	;bh;bx;ox;bh;oh;mk;;sk
𠒢	;yt;yt;ed;yt;mw;fq;;
𠝪	;wd;wd;wd;wd;hp;tm;;
𠠪	;ds;xd;yd;dl,sd,ds;sp;xy;;
𠣉	;yl;yl;yl;xm;ts;fd;;
𡆅	;kw;kw;kw;kz,kw;dh;kt;;
𡇿	;kd;kd;kd;kl;rp;lg;;
𡤶	;ng;ng;ng;nw;bb;vx;;
𡩄	;bl;bl;bl;bm;ws;pq;;
𡸥	;uw;uv;ev;uw;vz;mp;;
𢀗	;gv;gv;gv;gg,ag;ga;ah;;
𢓃	;xw;rw;iw;xw;wi;tv;;
𢓆	;xy;ry;ie;xy;wp;tf;;
𢛙	;xg;xg;xg;xq;hb;np;;
𢨔	;rg;rg;rg;gj,gq,qg;jp;wg;;
𢯲	;ou;ou;ou;un;qu;hc;;
𢺯	;fg;fg;fg;fw;ub;rx;;
𣡩	;mg;mg;mg;mw;eb;sx;;
𣥃	;vv;vv;vv;vg;sa;hn;;
𤗍	;pv;pv;pv;pw;az;th;;
𤥙	;wy;wy;wy;wy;nr;gg;;
𤧩	;oy;oy;oy;ny;qi;hc;;
𤻆	;bw;by;bb;bw;aw;uf;;
𥆶	;ou;ou;ou;ou;qu;hy;;
𥝄	;ry;pn;vd;rg,ry;lv;ol;;
𥟶	;hv;hv;hv;hw;xz;tp;;
𥤸	;xy;by;be;xy;ep;pw;;
𥿎	;sy;sv;yv;sy;iz;xq;;
𦂔	;sm;sl;yl;sm;is;xq;;
𦙵	;xo;xo;xo;xo;lv;qb;;
𦜐	;og;ol;ok;og;vk;ep;;
𦣾	;zw;zw;zw;zw;op;th;;
𦲯	;cw;cw;cw;cm,cw;lh;ag;;
𦽞	;cy;cy;ce;cy;lp;an;;
𧚇	;ym;pe;pv;ym;tp;pu;;
𧠆	;ze;ze;ze;zr,ze;te;th;;
𧯡	;xd;xb;xa;dy,xd;lz;qb;;
𧿙	;zy;zy;ze;zy;pp;kh;;
𨈊	;zg;zg;zg;zw;pb;kh;;
𨉝	;uv;uv;uv;uw;zz;tm;;
𨌔	;id;ix;ie;id;yp;lu;;
𨞼	;ce;ce;ce;me;lt;aj;;
𨩯	;jl;jl;jl;jm;zs;qq;;
𨩵	;jy;jy;jy;jf;zr;qp;;
𨩻	;jw;jw;jw;jw;zh;qc;;
𩈬	;mg;ml;mk;mg;bk;dm;;
𩊁	;gv;gv;gv;gy;tz;af;;
𩢄	;my;my;me;my;np;cf;;
𩣵	;mv;mv;mv;mw;nz;cp;;
𩾞	;wn;wn;wn;nw,wn;kx;vy;;
𪂦	;bn;bn;bn;wn;wx;pq;;
𪂧	;nv;nv;nv;pw;xz;wv;;
𪋅	;lw;lv;gv;lw;xz;yn;;
𪎛	;gv;gv;gv;my;zz;ys;;
𪐬	;hy;ly;he;hy;pp;lf;;
𪑉	;hy;ly;hy;hy;pr;lf;;
罒	;kl;kl;kl;aa,si;ys;lh;;sh
網	;sw;sw;yw;sw;if;xm;;is
亾	;rv;vr;rv;ra,rv;fw;wn;;rv
仼	;rw;rw;rw;rw;jn;wg;;rw
迬	;zv;zv;zv;zv;iu;yg;;dz
朢	;iw;iw;iw;wo;qn;ah;;hw
莣	;cx;cx;cx;cw;lh;ay;;cx
彺	;xw;rw;iw;xw;wn;tg;;pw
徃	;xu;ru;iu;xu;wl;tt;;pp
罓	;kx;kx;kx;ki,kw;mb;mq;;sd
瀇	;db;db;db;dg;kn;iy;;ud
兦	;rv;vr;rv;ra,rv;fw;ty;;pv
尫	;ww;ww;ww;ww;fn;gq;;hw
尣	;be;be;be;be;hp;wq;;pv
㓁	;br;be;bb;br;wh;pq,pw;;
㲿	;dg;dg;dg;dy;kx;iy;;
㳹	;dw;dw;dw;dw;kn;is;;
㴏	;dw;dw;dw;dw;kn;ip;;
䋄	;sg;sx;yx;sg;ib;xm;;
䋞	;sw;sx;yx;sw;ib;xm;;
䛃	;yy;yy;we;yy;sp;yf;;
䤑	;yb;yb;yb;yh;yn;sg;;
䰣	;gx;gx;gx;gw;ab;rq;;
尩	;bw;bw;bw;ph,we,ww;hn;wq;;pw
暀	;ov;ov;ov;ow;on;jt;;lp
棢	;mw;mw;mw;mw;ef;sm;;ms
罖	;sd;sd;sd;sd;yj;lw;;
菵	;cw;cw;cw;cw;lf;am;;cv
蚟	;iw;iw;iw;iw;cn;jg;;ow
蛧	;ix;ix;ix;iw;cb;jm;;os
蝄	;iw;iw;iw;iw;cf;jm;;os
誷	;yw;yw;ww;yw;sf;ym;;as
輞	;iw;iw;iw;iw;yf;lm;;hs
𠕿	;bb;bb;bb;bh;wv;pw;;
𡔞	;wr;ww;wr;wr,wt;fg;yn;;
𡝝	;dn;dn;dn;nw,wn;kb;ig;;
𡯁	;uv;uv;uv;pa;oy;dn;;
𡷢	;uw;ux;ex;uw;vh;my;;
𢁶	;jy;jy;jy;jy;rr;mh;;
𢛛	;xv;xv;xv;xw;hn;nt;;
𢼟	;cp;cy;vy;wf,wk,pw,cp;sh;bg;;
𣢫	;cq;cq;vr;qf,cq,qw;se;bg;;
𣥊	;wv;wv;wv;vw,wv;fs;yn;;
𣷪	;dv;dv;dv;dv;kn;im;;
𤷀	;bw;bw;bw;bw;an;ud;;
𥆚	;ow;ow;ow;ow;qn;hi;;
𥆜	;ov;ov;ov;ow;qn;ht;;
𥝍	;ha;ha;ha;ha;xf;tg;;
𥲠	;vw;vw;vw;vw;rn;ty;;
𥾼	;sl;sl;yl;sl;ir;xy;;
𦓋	;ll;ll;lb;hh,ll;qq;ft;;
𦖉	;ew;ew;ew;ew;qf;bm;;
𦣦	;ii;ii;ii;ii;qq;ah;;
𦣩	;ii;ii;ii;ii,ia;qq;ah;;
𦬣	;cy;cy;cy;cy;lr;am;;
𦯌	;cx;cx;cx;cx;lh;aw;;
𧈿	;ix;ix;ix;ig;cb;jm;;
𧎕	;bc;bi;li;bt,bc;ac;ux;;
𧧄	;yw;yn;wn;yw;sb;yy;;
𧧜	;yw;yx;wx;yw;sb;ym;;
𧫢	;yw;yw;ww;yw;sn;yy;;
𨕿	;zw;zw;zw;zw;bu;xf;;
𨳠	;mx;mx;mx;mg;ab;um;;
𩖩	;fy;fy;jy;fy;or;mt;;
𩵭	;yw;yw;aw;yw;wn;qo;;
𪁘	;dn;dn;dn;nw,wn;kx;ig;;
為	;dh;dh;vh;dh;ic;yt;;dd
爲	;vh;vh;ph;vh;yc;et;;pd
遗	;zr;zb;zr;zg;cu;kh;zr;kz;kz
謂	;yw;yo;wo;yw;sv;yl;;as
倭	;rn;rn;rn;rw;jb;wt;rn;re;re
違	;zw;zf;zl;zw;gu;nh;;vz
維	;sv;sv;yf;sv;iu;xw;;ir
圍	;kw;kf;kl;kw;rg;ln;;sh
衛	;xw;rf;ii;xi,xw;pg;tn;;pv
暐	;ow;of;ol;ow;og;jn;;lv
偉	;rw;rf;rl;rw;jg;wn;;rv
蒍	;cw;cw;ch;cw;lc;ay;;cd
衞	;xi;rj;ii;xb,xi;pr;tn;;pv
韋	;wf;wf;vl;aa,vu,wf;gw;nh;;vs
偽	;rw;rw;rh;rw;jc;wy;;rd
僞	;rw;rw;rh;rw;jc;we;;rp
梶	;mm;mm;mm;mw;ev;sn;;mv
軎	;ik;ik;ik;ik,ki;yd;gj;ik;hk;ck
痏	;bo;bo;bo;by;av;ud;;dy
鮪	;yy;yo;ao;yy;wv;qo;;ph
緯	;sw;sf;yl;sw;ig;xn;;iv
蜼	;iv;iv;if;iv;cu;jw;;or
頠	;yw;dy;db;yw;xw;qd;;ph
餵	;uw;uy;rn;uw;qt;wp,wy;;rs
愄	;xw;xy;xn;xw;ht;nl;;xs
闈	;mw;mf;ml;mw;ag;un;;ss
骫	;gw;gw;gw;gw;fi;me;;sp
渨	;dw;dy;dn;dw;kt;il;;us
潙	;dw;dw;dh;dw;kc;ie;;up
苿	;cw;cw;cw;cw;la;af;;cm
轊	;ie;ie;ie;ih;yb;ld;;hh
韙	;uw;of;ol;uw;og;jg;;lv
峞	;uw;uv;ev;uw;vz;mq;;sv
湋	;dw;df;dl;dw;kg;in;;uv
蝟	;io;io;io;iw;cv;jl;;os
餧	;uw;un;rn;uw;qb;wp,wy;;re
壝	;ty;tb;tz;ty;gu;fk;;tk
崣	;uw;un;en;uw;vb;mt;;sn
幃	;jw;jf;jl;jw;rg;mh;;sv
懀	;xo;xo;xo;xh;ho;nw;;xr
椳	;mw;my;mn;mw;et;sl;;ms
癓	;bw;bj;bw;bw;ah;ut;;dd
葦	;cw;cf;cl;cw;lg;an;;cs
葨	;cw;cy;cn;cw;lt;al;;cd
詴	;yy;yo;wo;yy;sv;yd;;ah
韡	;wh;wf;vl;wh;gu;nh;;vc
颹	;fw;ff;jl;fw;og;mt;;ps
鮠	;yw;yv;av;yw;wz;qo;;pp
寪	;bw;bw;bh;bw;wc;pe;;bd
徫	;xw;rf;il;xw;wg;tn;;pv
浘	;dm;dm;dm;dw;kv;in;;uv
溈	;dw;dw;dh;dw;kc;iy;;ud
潿	;dw;df;dl;dw;kg;il;;us
濰	;dw;dv;df;dw;ku;ix;;ui
烓	;ht;ht;ht;hg;cg;of;ht;qt
煒	;hw;hf;hl;hw;cg;on;;qv
熭	;fh;fh;fh;hh;ac;dh;;hq
燰	;hw;hw;hw;ha;ch;oe;;qp
諉	;yw;yn;wn;yw;sb;yt;;ae
鍏	;jw;jf;jl;jw;zg;qn;;jv
鍡	;jw;jy;jn;jw;zt;ql;;js
鏏	;je;je;je;jh;zb;qd;;jh
鮇	;yw;yw;aw;yw;wa;qo;;ph
㕒	;iw;iw;iw;iy;xp;du;;
㖐	;ky;ky;ky;ly;dt;kk;;
㞇	;ww;yy;yn;ww;ot;dn;;
㞑	;ud;uu;uv;ud;cv;nf;;
㟪	;uw;uy;en;uw;vt;ml;;
㠕	;uw;ug;eg;uw;va;mb;;
㢻	;gn;gn;gn;gw;bb;xt;;
㣲	;xw;rk;iw;xw;wh;tm;;
㥜	;xo;xo;xo;xw;hv;nl;;
㦣	;xw;rx;ix;xw;ph;tn;;
㧑	;fw;fw;fw;fw;ui;ry;fw;fd;fd
㨊	;fo;fo;fo;fr;uv;rd;;
㬙	;ow;ow;oh;ow;oc;je;;
㭏	;mw;mw;mw;mw;eg;sf;;
㱬	;dw;dy;dn;dw;gt;gq;;
㷉	;uc;uc;uc;ch;ck;nf;;
䃬	;ug;ug;ug;uw;ma;dm;;
䈧	;vw;vw;vh;vw;rc;te;;
䉠	;vw;vj;vw;vw;rh;tt;;
䑊	;oy;ob;oz;oy;vu;ek;;
䔺	;co;co;co;cs;lv;ab;;
䗽	;iw;si;yi;iw;ic;xw;;
䘙	;xi;rj;ii;xi;pr;tn;;
䙿	;jw;wj;we;jw;ae;fi;;
䜅	;yc;yv;wf;yc;su;ym;;
䜜	;yr;yo;wo;yr;sq;yh;;
䝐	;uo;uo;uo;us;jv;eb;;
䞔	;iw;im;tm;iw;gv;fo;;
䡺	;ix;ix;ix;ih;yh;ld;;
䥩	;jw;jj;jw;jw;zh;qt;;
䪋	;gy;gb;gz;gy;tu;af;;
䪘	;wu;wz;vr;wu;gt;nh;;
䬐	;fw;fn;jn;fw;ob;mt;;
䬑	;fw;fo;jo;fw;ov;mt;;
䬿	;uw;um;rm;uw;qv;wy;;
䭳	;ho;ho;ho;xw;xo;tv;;
䮹	;ms;mu;mp;ms;ns;ch;;
䲁	;yw;yc;ac;yw;wk;qo;;
䵋	;co;co;co,no;hy;nv;am;;
䵳	;hh;lo;ho;hh;po;lf;;
儰	;rw;rw;rh;rw;jc;wa;;rc
厃	;di;di;di;di;xx;qd;;pp
叞	;uy;uy;uy;yu;cr;nf;;vv
唩	;kn;kn;kn;kw;db;kt;;ke
喡	;kw;kf;kl;kw;dg;kn;;kv
喴	;kn;kn;kn;kw;db;kd;;kh
墛	;tc;tc;tc;tw;gk;fn;;tv
媁	;nw;nf;nl;nw;bg;vn;;nv
媙	;nn;nn;nn;nw;bb;vd;;nh
媦	;no;no;no;nw;bv;vl;;ns
屗	;uc;uc;uc;cw,uc;ck;nt;;
嵔	;uw;uy;en;uw;vt;ml;;sd
嶉	;uw;uv;ef;uw;vu;mk;;sh
嶶	;uw;uj;ew;uw;vh;mt;;sd
愇	;xw;xf;xl;xw;hg;nn;;xv
捤	;fm;fm;fm;fw;uv;rn;;fv
揋	;fw;fy;fn;fw;ut;rl;;fs
揻	;fn;fn;fn;fw;ub;rd;;fh
楲	;mn;mn;mn;mw;eb;sd;;mh
欈	;mk;mk;mk;mj,mk;ed;sm;;ms
犚	;un;un;un;nw;cq;nf;;vs
犩	;hn;hn;hn;nw;xq;tv;;es
猚	;qv;qv;qf;qv;mu;qt;;pr
瑋	;ww;wf;wl;ww;ng;gn;;wv
矀	;ow;oj;ow;ow;qh;ht;;sp
緭	;sw;so;yo;sw;iv;xl;;is
縅	;sw;sn;yn;sw;ib;xd;;ih
罻	;sc;sc;sc;sw;yk;ln;;sd
腲	;ow;oy;on;ow;vt;el;;ys
芛	;cy;cy;cy;cy;lt;av;;cp
荱	;cm;cm;cm;cw;lv;an;;cv
菋	;cw;cw;cw;cw;la;ak;;cm
蓶	;cw;cv;cf;cw;lu;ak;;ch
蔿	;cw;cw;ch;cw;lc;ae;;cd
藯	;cx;cx;cx;cw;lh;an;;cx
蘶	;cg;cg;cg;cw;la;at;;cd
蜲	;in;in;in;iw;cb;jt;;oe
蝛	;in;in;in;iw;cb;jd;;oh
褽	;uy;uy;uy;yw;ct;nf;;vd
覣	;jw;hj;he;jw;xe;tv;;es
覹	;jw;jj;ow;jw;eh;hq;;sp
讆	;yw;rk;ik;yw;ps;tn;;pa
讏	;yw;rk;ik;yw;ps;tn;;pa
踓	;zv;zv;zf;zv;pu;kh;;zr
躗	;zw;rz;ir;zw;pp;tn;;pz
躛	;zw;rz;ir;zw;pp;tn;;pz
鄬	;ew;we;pe;ew;yt;et;;pv
醀	;yv;yv;yf;yv;yu;sg;;hr
隇	;en;en;en;ew;tb;bd;;vh
霺	;yw;yj;yw;yw;th;ft;;hd
韑	;gw;gf;xl;gw;mg;iq;;sv
饖	;us;uu;rp;us;qs;wp,wy;;rs
骩	;gj;gj;gj;gj;fk;me;;sp
骪	;gf;gf;gf;gf;fi;me;;sp
鰃	;yw;yy;an;yw;wt;qo;;ps
鰄	;yw;yn;an;yw;wb;qo;;ph
𠄿	;ew;ef;el;ew;mg;fl;;
𠆟	;wu;wu;wu;wg;zj;yw;;
𠙕	;jk;jk;jk;jk;od;mb;;
𠥎	;kw;kf;kl;kw;ng;an;;
𠳿	;km;km;km;kw;dv;kn;;
𠹤	;kx;kx;kx;kh;dh;kf;;
𡂗	;kk;kk;kk;kj;dd;kw;;
𡇦	;kn;kn;kn;kn;rb;lg;;
𡔱	;ud;td;ud;du,ud;gm;fp;;
𡚈	;bt;bt;bt;pt;hm;uo;;
𡶎	;uw;uw;ew;uw;va;mf;;
𡷕	;uw;um;em;uw;vv;mn;;
𡼱	;uw;uf;el;uw;vg;ml;;
𢉝	;gw;gy;gn;gw;xt;yl;;
𢊯	;gw;gw;gh;gw;xc;yy;;
𢍚	;uc;uc;uc;ub;nl;fp;;
𢣘	;wx;sx;yx;xw,wx;ih;xw;;
𢲴	;uu;uu;uu;uw,wu;cu;nf;;
𢸦	;fy;fb;fz;fy;uu;rk;;
𢼸	;uw;uj;ew;uw;vh;mg;;
𢾁	;ww;wy;vy;ww;gh;nh;;
𣄺	;aw;ww;ah;jw,aw;dc;aq;;
𣈎	;om;om;om;ou;oe;jp;;
𣨙	;dn;dn;dn;dw;gb;gq;;
𣩪	;ds;du;dp;ds;gs;gq;;
𣫪	;uh;to;uo;th,uh;go;fp;;
𣽴	;do;do;do;dk;kv;ik;;
𤀷	;do;do;do;jy;kv;iv;;
𤁿	;do;do;do;dw;kv;iv;;
𤛲	;ng;ng;ng;nw;qa;tr;;
𤸆	;bw;bf;bl;bw;ag;un;;
𤺉	;bw;bw;bh;bw;ac;uy;;
𤻅	;bw;bw;bw;ba;ah;ue;;
𥅵	;vo;vo;vo;ov;sq;hw;;
𥉖	;ox;ox;ox;oh;qh;hf;;
𥊪	;ow;ow;oh;ow;qc;hy;;
𥌰	;oy;ob;oz;oy;qu;hk;;
𥒮	;um;um;um;uw;mv;dn;;
𥧙	;bw;bw;bw;xw;ea;pw;;
𥯜	;vw;vy;vn;vw;rt;tl;;
𥯤	;vw;vf;vl;vw;rg;tn;;
𥶽	;vw;vj;vi;vw;rg;tt;;
𦇅	;sb;sb;yb;sb;io;xg;;
𦓽	;ln;ln;ln;lw;ab;di;;
𦝛	;ow;of;ol;ow;vg;en;;
𦠻	;ob;ob;ob;of;vo;ex;;
𦩝	;vo;vo;vo;vw;iv;te;;
𦩬	;vn;vn;vn;vw;ib;te;;
𦪒	;vb;vb;vb;vg;io;te;;
𦳢	;co;co;co;cw;lv;al;;
𦾛	;cw;cf;cl;cw;lg;aj;;
𧍥	;iw;iy;in;iw;ct;jl;;
𧍫	;iw;if;il;iw;cg;jn;;
𧐌	;ki;ki;ki;iw,wi;dc;kw;;
𧔥	;iy;ib;iz;iy;cu;jk;;
𧕞	;hi;hi;hi;iw,wi;xc;tv;;
𧚷	;ye;pi;pv;ye;to;pu;;
𧛚	;yw;py;pn;yw;tt;pu;;
𧝕	;yw;yf;wy;yw;tg;yl;;
𧟼	;xg;xt;at;yg,xg;vg;gm;;
𧢒	;jw;rj;ie;jw;we;tm;;
𧢧	;jj;uj;ee;js,cj,jj;ve;mw;;
𧤖	;jw;dy;dn;jw;xt;qe;;
𧲄	;uw;uw;uh;uw;jc;ee;;
𧲗	;uo;uo;uo;uo;jv;et;;
𧲝	;wt;ru;iu;wt;pj;tn;;
𧳞	;vv;vv;vf;vv;mu;ee;;
𧳪	;vo;vo;vo;vw;mv;ee;;
𧴖	;vs;vu;vp;vs;ms;ee;;
𧸽	;by;bb;oz;by;ou;mk;;
𨃄	;zw;zy;zn;zw;pt;kh;;
𨖿	;zw;zw;zh;zw;yu;et;;
𨗨	;zw;zf;zl;zw;lu;an;;
𨚘	;we;we;we;we;at;fi;;
𨝀	;ge;ge;ge;ge;at;rq;;
𨟗	;ce;ce;ce;we;lt;ae;;
𨠥	;yv;yv;yv;yw;yz;sg;;
𨢉	;yq;yb;ya;yq;yz;sg;;
𨪈	;jg;jg;jg;jg;za;qr;;
𨴓	;mv;mv;mv;mw;az;uq;;
𨵋	;mn;mn;mn;mw;ab;ut;;
𨻒	;eh;eh;eh;em;tc;bd;;
𨾂	;ly;lg;vb;dy,ly;bh;vi;;
𨿭	;ev;ev;ef;ve,vz,ev;tu;bd;;
𩀣	;jv;jv;bf;vj,jv;gu;qk;;
𩁌	;vh;ev;ef;vh;ou;bd;;
𩋾	;gw;gf;gl;gw;tg;af;;
𩎵	;fw;rf;rl;wf,fw;jg;wx;;
𩏉	;ww;ww;ww;ww;zh;yl;;
𩏏	;wr;wm;vn;wh,wr;gc;nh;;
𩑵	;wy;wy;wb;yw,wy;aw;fi;;
𩗘	;fw;fm;jm;fw;ov;mt;;
𩗜	;fw;fv;jv;fw;oz;mt;;
𩜧	;uj;uj;rj;uj;qo;wy;;
𩟟	;um;um;rm;um;qa;wy;;
𩠯	;uj;bi;bl;uj;hq;ut;;
𩤸	;mo;mo;mo;mw;nv;cl;;
𩲂	;gd;gd;gd;gj;az;rq;;
𩲄	;yg;yg;yg;gw,gy,yg;oa;dn;;
𩴞	;gw;gw;gh;gw;ac;rq;;
𩹂	;yw;yo;ao;yw;wv;qo;;
𩹥	;yf;yf;ai;yf;wc;qo;;
𩹷	;yg;yg;ag;yg;wa;qo;;
𩼂	;ys;yo;az;ys;wu;qo;;
𩼌	;yw;yj;aw;yw;wh;qo;;
𩽎	;yy;yb;az;yy;wu;qo;;
𪂄	;rn;rn;rn;ni,in;jx;wq;;
𪑐	;uh;uh;uh;hw,wh;cp;nt;;
𪑭	;hk;lt;ht;hk;pg;lf;;
問	;mk;mk;mk;km,mk;ad;uk;;sk
聞	;me;me;me;em,me;aq;ub;;sh
穩	;hx;hx;hx;hj,hx;xh;te;;ep
揾	;fm;fm;fm;fw;ua;rj;fm;fl
搵	;fm;fm;fm;fm,fw;ua;rl;;fs
韫	;wm;wm;wm;wm,ww;ga;fn;wm;hl;hl
紋	;sw;sw;yw;sw;iv;xy;;id
溫	;dm;dm;dm;dm,dw;ka;il;;us
穏	;hx;hx;hx;hj,hx;xh;te;;ep
缊	;sm;sm;sm;sw;ia;xj;sm;il;il
呅	;kw;kw;kw;kw;dv;ky;;kd
蟁	;mi;mi;mi;im;dc;na;;vo
忞	;wx;wx;wx;wx;vh;yn;wx;dx;wx
妏	;nw;nw;nw;nw;bv;vy;;nd
脗	;ok;ok;ok;ok;vd;eq;;yp
塭	;tm;tm;tm;tw;ga;fj;;tl
輼	;im;im;im;iw;ya;lj;;hl
馼	;mw;mw;mw;mw;nv;cy;;hd
鎾	;jm;jm;jm;jw;za;qj;;jl
彣	;wp;wp;wp;pw,wp;ve;ye;;dp
昷	;om;om;om;mo,om;oa;jl;;lh
緼	;sw;sm;ym;sw;ia;xj;;il
繧	;sy;sy;ys;sy;ib;xf;;ih
鼤	;jw;jw;jw;uw;pv;vn;;pd
瑥	;wm;wm;wm;ww;na;gj;;wl
轀	;im;im;im;im,iw;ya;ll;;hs
㒚	;rx;rx;rx;ry;jh;we;;
㖧	;ko;ko;ko;kh;do;kq;;
㗃	;ko;ko;ko;kh;do;kn;;
㝧	;az;br;bt;az;wg;pv;;
䎹	;eb;ce;pe;eb;tq;to;;
䎽	;eo;eo;eo;eh;qo;bq;;
䘇	;wi;wi;wi;wi;vc;yj;;
䰚	;gw;gw;aw;gw;nv;gk;;
伆	;rw;rw;rw;rw;je;wq;;rp
抆	;fw;fw;fw;fw;uv;ry;;fd
桽	;mz;mr;mt;mz;eg;sw;;mt
榲	;mm;mm;mm;mm,mw;ea;sl;;ms
殟	;dm;dm;dm;dw;ga;gq;;hl
珳	;wp;wp;wp;wp,ww;ne;gy;;wd
瘒	;bi;bi;bi;bj;ay;up;;ds
縕	;sm;sm;ym;sm,sw;ia;xl;;is
